,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,yeppoon,-23.1333,150.7333,80.6,34,40,9.22,AU,1619412131
1,bambous virieux,-20.3428,57.7575,78.01,88,75,14.97,MU,1619412131
2,hit,33.6416,42.8251,90.48,16,100,11.14,IQ,1619412131
3,kodiak,57.79,-152.4072,42.8,81,1,9.22,US,1619412131
4,beringovskiy,63.05,179.3167,31.55,90,44,2.1,RU,1619412131
5,albany,42.6001,-73.9662,43.0,53,63,4.0,US,1619412131
6,hermanus,-34.4187,19.2345,60.01,91,1,1.99,ZA,1619412132
7,camacha,33.0833,-16.3333,62.6,77,20,17.27,PT,1619412132
8,vaini,-21.2,-175.2,82.4,89,75,4.61,TO,1619412030
9,taoudenni,22.6783,-3.9836,84.25,16,8,9.31,ML,1619412133
10,khatanga,71.9667,102.5,17.24,84,99,17.25,RU,1619412133
11,torbay,47.6666,-52.7314,39.99,70,1,6.91,CA,1619412134
12,rikitea,-23.1203,-134.9692,77.81,75,33,5.19,PF,1619412134
13,golden,39.7555,-105.2211,64.0,16,75,6.91,US,1619411859
14,pinega,64.7001,43.3936,40.84,90,100,7.02,RU,1619412135
15,yellowknife,62.456,-114.3525,6.8,78,90,12.66,CA,1619412135
16,praya,14.9215,-23.5087,68.0,77,40,9.22,CV,1619412135
17,ancud,-41.8697,-73.8203,52.0,100,90,5.75,CL,1619411903
18,bayburt,40.2589,40.2278,62.13,44,100,8.12,TR,1619411851
19,baherden,38.4362,57.4316,86.4,19,2,6.89,TM,1619411838
20,souillac,-20.5167,57.5167,77.0,88,75,14.97,MU,1619411846
21,rawson,-43.3002,-65.1023,58.68,54,26,15.73,AR,1619412136
22,lawrenceburg,38.0373,-84.8966,44.01,81,1,5.5,US,1619412136
23,lexington park,38.2668,-76.4538,54.0,76,1,8.05,US,1619412136
24,cape town,-33.9258,18.4232,62.01,88,20,6.91,ZA,1619411982
25,puerto ayora,-0.7393,-90.3518,74.43,88,4,6.73,EC,1619412136
26,panama city,8.9936,-79.5197,79.0,78,20,6.89,PA,1619412136
27,kavieng,-2.5744,150.7967,84.13,67,92,4.32,PG,1619412137
28,qaanaaq,77.484,-69.3632,28.4,62,10,9.82,GL,1619412137
29,kaitangata,-46.2817,169.8464,48.0,67,99,1.01,NZ,1619412137
30,atuona,-9.8,-139.0333,79.95,76,77,19.13,PF,1619412137
31,hobart,-42.8794,147.3294,66.2,42,40,17.27,AU,1619412116
32,ushuaia,-54.8,-68.3,46.4,81,90,3.44,AR,1619412137
33,busselton,-33.65,115.3333,78.01,46,99,4.0,AU,1619412138
34,butaritari,3.0707,172.7902,82.81,74,16,12.86,KI,1619412138
35,mataura,-46.1927,168.8643,48.0,65,96,15.99,NZ,1619412138
36,mar del plata,-38.0023,-57.5575,60.01,88,75,3.44,AR,1619411966
37,livny,52.4253,37.6069,38.62,57,80,4.54,RU,1619412138
38,hilo,19.7297,-155.09,73.4,83,90,6.91,US,1619412138
39,adrar,20.5022,-10.0711,75.69,22,43,10.2,MR,1619412139
40,bulgan,48.8125,103.5347,39.34,42,97,17.69,MN,1619411860
41,kiunga,-6.1219,141.2906,92.17,47,76,3.24,PG,1619412139
42,sasovo,54.3537,41.9199,39.13,61,7,13.47,RU,1619412139
43,kahului,20.8947,-156.47,73.4,83,40,18.41,US,1619411852
44,psedakh,43.4672,44.5692,50.0,87,75,4.47,RU,1619412139
45,husavik,66.0449,-17.3389,35.6,87,75,8.05,IS,1619412141
46,anadyr,64.75,177.4833,26.6,100,75,2.24,RU,1619412141
47,bosaso,11.2842,49.1816,86.0,62,0,19.57,SO,1619412141
48,kulhudhuffushi,6.6221,73.07,83.93,70,13,3.04,MV,1619412141
49,aksum,14.1245,38.7244,65.55,51,50,3.44,ET,1619412141
50,khanpur,28.6453,70.6567,100.76,7,0,7.07,PK,1619412142
51,lompoc,34.6391,-120.4579,51.8,87,100,4.61,US,1619412142
52,new norfolk,-42.7826,147.0587,64.0,73,100,7.0,AU,1619412142
53,dikson,73.5069,80.5464,20.16,93,100,21.94,RU,1619412142
